date,from,to,type,note,source
2018,Hapsburg Group,Ukraine,association,lobbies for,https://www.cnbc.com/2018/06/08/special-counsel-robert-mueller-files-new-indictment-against-paul-manafort-nbc-news.html?utm_source=fark&utm_medium=website&utm_content=link&ICID=ref_fark
2018-06,Konstantin Kilimnik,Paul Manafort,association,works with,https://www.cnbc.com/2018/06/08/special-counsel-robert-mueller-files-new-indictment-against-paul-manafort-nbc-news.html?utm_source=fark&utm_medium=website&utm_content=link&ICID=ref_fark
2018-06,Paul Manafort,Russia,association,lobbies for,https://www.cnbc.com/2018/06/08/special-counsel-robert-mueller-files-new-indictment-against-paul-manafort-nbc-news.html?utm_source=fark&utm_medium=website&utm_content=link&ICID=ref_fark
2018-06,Vladimir Putin,Russia,association,president,NA
2016-05,Paul Manafort,Donald J Trump,association,campaign manager,NA
2016-01,Konstantin Kilimnik,Russia,association,former spy,https://www.bloomberg.com/news/articles/2018-06-09/mueller-s-latest-charges-bring-together-trump-campaign-russia
2018-06-15,Paul Manafort,Jail,association,remanded,https://www.cnn.com/2018/06/15/politics/judge-sends-paul-manafort-to-jail-pending-trial
06/06/2016,Paul Manafort,Trump Tower,association,meeting,http://www.newsweek.com/paul-manafort-indictment-timeline-russia-probe-charges-696226
06/06/2016,Donald Trump Jr,Trump Tower,association,meeting,NA
06/06/2016,Jared Kushner,Trump Tower,association,meeting,NA
06/06/2016,Natalia Veselnitskaya,Trump Tower,association,meeting,NA
04/27/2018,Natalia Veselnitskaya,Russia,association,Informant,https://www.nbcnews.com/nightly-news/video/russian-lawyer-who-met-with-kushner-don-jr-admits-to-being-an-informant-1221063235886
2012,Viktor Yanukovych,Paul Manafort,payment,12700000,http://www.newsweek.com/paul-manafort-indictment-timeline-russia-probe-charges-696226
2012,Viktor Yanukovych,Ukraine,association,Former President,NA
2015,Oleg Deripaska,Paul Manafort,loan,10000000,http://www.businessinsider.com/court-document-shows-oleg-deripaska-loaned-paul-manafort-10-million-2018-6
2015,Oleg Deripaska,Russia,association,close ties,NA
2016,Paul Manafort,Konstantin Kilimnik,association,emails re: campaign,http://www.businessinsider.com/court-document-shows-oleg-deripaska-loaned-paul-manafort-10-million-2018-6
2016,Konstantin Kilimnik,Oleg Deripaska,association,emails re: campaign,http://www.businessinsider.com/court-document-shows-oleg-deripaska-loaned-paul-manafort-10-million-2018-6
2018-06-25,Donald J Trump,Chuck Rettig,association,nominates for IRS,https://www.rawstory.com/2018/06/trumps-irs-nominee-failed-disclose-crucial-information-report/
2018,Chuck Rettig,Trump Organization,association,owns branded property,https://www.rawstory.com/2018/06/trumps-irs-nominee-failed-disclose-crucial-information-report/
2018-06-20,Michael D Cohen,Republican National Committee,association,resigns,https://www.politico.com/story/2018/06/20/michael-cohen-resigns-from-rnc-657334
2018-06-30,Anthony Kennedy,The Supreme Court,association,resigns,https://www.vanityfair.com/news/2018/06/donald-trump-justice-anthony-kennedy-retirement
2010,Justin Kennedy,Anthony Kennedy,association,son,https://www.vanityfair.com/news/2018/06/donald-trump-justice-anthony-kennedy-retirement
1997,Justin Kennedy,Deutsche Bank,association,employed,https://www.vanityfair.com/news/2018/06/donald-trump-justice-anthony-kennedy-retirement
2005,Justin Kennedy,Donald J Trump,loan,1000000000,https://www.vanityfair.com/news/2018/06/donald-trump-justice-anthony-kennedy-retirement
2017-01-31,Deutsche Bank,US and UK Gov'ts,fine,630000000,https://www.theguardian.com/business/2017/jan/31/deutsche-bank-fined-630m-over-russia-money-laundering-claims
2017-01-21,Donald J Trump,The Supreme Court,association,appoints justices,NA
